Refuse Rounds Road & Day of Collection,,,,
,,,,
Monday,Tuesday,Wednesday,Thursday,Friday
Amber Grove,Bentley Drive,Carlton Close,Compton Close,The Riding
Caney Mews,Besant Road,Elm Terrace,Elsinore Gardens,Hendon Way (NW2: Nos 1-166)
Claremont Way,Dairyman Close,Farm Avenue,Gillingham Road,Gresham Gardens
Cotswold Gate,Longberrys,Harman Close,Llanelly Road,The Ridgeway
Jade Close,Marnham Avenue,Harman Drive,Pentland Close,Woodstock Road
Malvern Gardens,Montpelier Way,Heathcroft,Sanderstead Avenue,Gainsborough Gardens
Marble Drive,Mortimer Close,Hermitage Lane,Vale Rise,Golders Gardens
Mendip Drive,Sandifer Drive,Hocroft Avenue,Cloister Road,Armitage Road
Pearl Close,Highfield Gardens,Hocroft Road,Garth Road,Ridge Hill
Purbeck Drive,Highfield Avenue,Howard Close,Crewys Road,Wessex Gardens
Topaz Walk,Woodville Road,Lyndale,Nant Road,Wessex Way
Wallcote Avenue,St Marys Road,Ranulf Road,Llanvanor Road,Wayside
Zeland Close,Montpelier Rise,West Heath Road,Somerton Road,Woodstock Avenue
Claremont Road (FOR R1/GW6),Elmcroft Crescent,North End Road,Hodford Road,The Drive
Cotswold Gardens,Sandringham Road,The Park,Rodborough Road,The Grove
Pennine Drive,Hamilton Road,Park Drive,Finchley Road (G Green to NCR),Limes Avenue
Chiltern Gardens,Woodville Gardens,Park Avenue,Dunstan Road,Beverley Gardens
Cheviot Gardens,Brentfield Gardens,West Heath Avenue,Helenslea Avenue,Basing Hill
Cheviot Gate,Cricklewood Lane,Golders Park Close,Wycombe Gardens,Powis Gardens
Cleveland Gardens,Lichfield Road,West Heath Drive,Dersingham Road,Siamese Mews
Clitterhouse Crescent,Horton Avenue,West Heath Gardens,Granville Road,"Vardon Close, Claremont Park"
Clitterhouse Road,Galsworthy Road,Platts Lane,Caddington Road,Station Road N3
Prayle Grove,Westcroft Close (Barnet Section),Pattison Road,The Vale,Station Close
Whitefield Avenue,Westcroft Way,Hermitage Gardens,Greenfield Gardens,Clifton Avenue
Cumbrian Gardens,Ash Grove,Prospect Road,Purley Avenue,Dollis Park
Grampian Gardens,Elm Grove,Lyndale Avenue,Thorverton Road,Grass Park
Quantock Gardens,Yew Grove,Ridge Road,Maddison Close,Dollis Avenue
Long Lane,Oak Grove,Sunnyside,"Vale Farm, Strawberry Vale",Rathgar Close
Dukes Avenue,Kingsley Way,Prospect Place,Briar Close,Victoria Avenue
Sylvan Avenue,Kingsley Close,Hocroft Walk,Elm Gardens,Church Crescent
Vines Avenue,Holne Chase,West Heath Close,Claybrook Close,Priory Close
Oakfield Road,Milton Close,Cenacle Close,Long Lane,The Avenue
Montpelier Road,Rowan Walk,Beechworth Close,Font Hills,Regents Park Road
Cromwell Road,Chalton Drive,Elm Walk,The Mead,Regents Park Road
Abingdon Road,Winnington Close,Beaumont Gardens,Manor Cottages Approach,Hendon Avenue
Pointalls Close,Winnington Road,Westover Hill,Chamberlain Road,Freston Park
Avondale Road,Norrice Lea,Eden Close,Richmond Road,Kingswood Park
Rosemary Avenue,Church Mount,Hampstead Way (C),Brighton Road,Grenville Close
Tangle Tree Close,Linden Lea,Romney Close,New Oak Road,Queenswood Park
Briarfield Avenue,Lytton Close,Wyldes Close,Taunton Drive,Claremont Park
Manor View,Neville Drive,Morland Close,Brendon Grove,Lyndhurst Gardens
Lichfield Grove,Spencer Drive,Wellgarth Road,Brownswell Road,St Marys Avenue
Hervey Close,Cotman Close,Ossulton Way,Sylvester Road,Cyprus Gardens
Strathmore Gardens,Turner Close,Holyoake Walk,Tarling Road,Cyprus Avenue
Cadogan Gardens,Turner Drive,Blandford Close,Wilmot Close,Village Road
Claigmar Gardens,Meadway Close,Cornwood Close,Thackrah Close,Charter Way
Redbourne Avenue,Bigwood Road,Bancroft Avenue,Fallows Close,College Terrace
Princes Avenue,Hurst Close,Deansway,Oak Lane,Rectory Close
Dorset Mews,Raeburn Close,The Causeway,New Trinity Road,Gravel Hill
Claverley Grove,Constable Close,Cedar Drive,Trinity Road,Bibsworth Road
Claverley Villas,Kenwood Close,Brim Hill,Leslie Road,Cyprus Road
Ballards Lane,Hampstead Lane,Devon Rise,Leopold Road,Salisbury Avenue
Wootton Grove,Spaniards End,Vivian Way,Church Lane,Wickliffe Avenue
Nursery Avenue,Spaniards Road,Harford Walk,The Walks,"Latymer Gardens, Wickliffe Avenue"
Regents Park Road,Ingram Avenue,Widecombe Way,King Street,Windsor Road
Pavilion Mews,Spaniards Close,Totnes Walk,William Close,Windsor Close
"Spring Place, Windermere Avenue",Wildwood Road,Gurney Drive,Red Lion Hill,Arden Road
Windermere Avenue,Wildwood Rise,Howard Walk,Elmfield Road,Allandale Avenue
Edge Hill Avenue,Turners Wood,The Leys,Abbots Gardens,Broughton Avenue
Beechwood Avenue,Fairway Close,Greenhalgh Walk,Cromwell Close,Waverley Grove
Mountfield Road,Bunkers Hill,Hill Top,Elmshurst Crescent,Hendon Lane
"Montgomery Court, Mountfield Road",Green Close,Hutchings Walk,Pulham Avenue,"Hamilton Court, 33 Hendon Lane"
Holmwood Gardens,The Bishops Avenue,Maurice Walk,Simms Gardens,Chalgrove Gardens
Howes Close,Canons Close,Ludlow Way,Lucas Gardens,Chessington Avenue
Cavendish Avenue,Arden Court Gardens,Grey Close,Vanderville Gardens,Fitzalan Road
Stanhope Avenue,Byron Drive,Litchfield Way,Borrowdale Close,Crooked Usage
Holly Park,White Lodge Close,Brunner Close,"Christopher Court, Great North Way",Parklands Drive
Tillingbourne Gardens,Bishops Grove,Sutcliffe Close,"Regal Court, Holders Hill Road",Hillcrest Gardens
Tillingbourne Way,Deacons Rise,Middleway,Regency Crescent,Highview Gardens
Holly Park Gardens,Aylmer Road,Meadway,Robin Lane,North Crescent
Upper Cavendish Avenue,Falloden Way,Ruskin Close,"Rochester Court, Holders Hill Road",St Michaels Close
Orchard Avenue,Lyttelton Road,Childs Way,"The Regents, Holders Hill Road",Rawlins Close
Amberden Avenue,Hill Rise,Willifield Green,Holders Hill Road,Fairholme Gardens
Kingsgate Avenue,Albert Street,Willifield Way,Thornfield Avenue,Fairholme Close
Clandon Hse Court Clandon Road,Fernside,Hampstead Way (Nos 60+),Rydal Close,Haslemere Gardens
Basing Way,"Finchley Lodge, Gainsborough Road",Hill Close,Foreland Court,Kinloss Gardens
Moat Crescent,Temple Close,Linnell Drive,Cumberland Gardens,Surrey Close
Brookland Hill,Netherfield Road,Farm Walk,Timberdene,Beach Lodge Flats 1 - 15
Brookland Close,Gainsborough Road,Asmuns Hill,Freeland Park,Mulligan Lodge
Brookland Rise,Lodge Lane,Denman Drive,Holders Hill Drive,Lullington Garth
Brookland Garth,Devonshire Road,Temple Fortune Hill,Holders Hill Avenue,Rodmell Slope
Thornton Way,Manor Hall Avenue,Oakwood Road,Ridge Close,Offham Slope
Southway,Manor Hall Drive,Heathgate,Westchester Drive,Wolstonbury
Gloucester Drive,Finchley Road,Linnell Close,Cedars Close,Singleton Scarp
Dorchester Gardens,Beaufort Park,Erskine Hill,Tenterden Drive,Chanctonbury Way
Beaufort Drive,Clifton Gardens,Addison Way,Downage,Sussex Ring
Connaught Drive,Alyth Gardens,Hogarth Hill,Sherwood Road,Southover (No's 1-66)
The Grove,Dingwall Gardens,Lucas Square,Ashley Lane,Walmington Fold
"Swift Court (Flats 1- 14),  22 The Grove",Hampstead Gardens,Chatham Close,Garrick Park,Saddlescombe Way
Wentworth Avenue,Forres Gardens,Woodside,Linksway,Poynings Way
Grove Avenue,Temple Fortune Lane,The Orchard,Holders Hill Crescent,Steynings Way
Helen Close,Sheridan Walk,Arlington Green,Holders Hill Gardens,Linkside
Cornwall Avenue,"1 - 9 Grafton Court, Finchley Road",Bradshaw Drive,Great North Way,Cissbury Ring South
Falkland Avenue,689-705 Finchley Road,Cheldon Avenue,Hilltop Gardens,Folkington Corner
Grove Road,374-376 Finchley Road,Colebrook Close,Parson Street,Cissbury Ring North
Wentworth Close,Northway,Hatherleigh Close,Corrigan Close,Pyecombe Corner
Essex Park,North Square,Honiton Gardens,Westside,Curry Rise
Nether Street,South Square,Kingsbridge Drive,"Ballister Court, 177 Great North Way",Walden Way
Hillcourt Avenue,Central Square,Langstone Way,"Royal Court, (9 Flats) Holders Hill Road",Drew Avenue
Dunstan Close,Squires Lane,Lidbury Road,LANTA HOUSE Flats 183 Holders Hill Road,Reading Way
Moss Hall Grove,Vineyard Grove,Marwood Drive,Dollis Road,Bray Road
St Marys Green,Queens Road,Seaton Square,Nether Street,Twinn Road
Moss Hall Crescent,Dickens Avenue,Shillingford Close,Fursby Avenue,Price Close
Alexandra Grove,Queens Avenue,Stockford Avenue,Chesterfield Road,Maurice Brown Close
Argyle Road,Park Crescent,Tavistock Avenue,Westbury Road,Holmes Avenue
Avondale Avenue,Woodlands Avenue,Thornbury Close,Nethercourt Avenue,Kelly Road
Birkbeck Road,Etchingham Park Road,Tiverton Way,Grosvenor Road,Warren Way
Hutton Grove,Park View Road,Woodberry Close,Courthouse Gardens,Roberts Road
Dale Grove,Park Avenue,Shirwell Close,Courthouse Road,Henry Darlot Drive
Cecilia Close,Seymour Road,High Road N12,Howcroft Crescent,Charles Sevright Drive
Juliana Close,The Ridgeway,High Road (Tally Ho Corner-NCR),West Avenue,Scaynes Link
Thomas More Way,St Pauls Way,Granville Road,Penstemon Close,Morphou Road
Clare Close,Willow Way,Graywood Court,Brent Way,Peacock Close
Wentworth Park,Parkside,Eton Avenue,Finchley Way,Amport Place
Mossborough Close,Holdenhurst Avenue,Fallow Court Avenue,Hamilton Way,Beech Lawns
Thyra Grove,Chislehurst Avenue,Montrose Crescent,Maple Close,Copwood Close
Benedict Way,Bow Lane,Christchurch Avenue,The Drive,Fairfield Close
Gruneisen Road,Clifton Road,Woodberry Gardens,Westbury Grove,Lambert Way
Ashburnham Close,Heatherdene Close,Woodberry Way,Nether Close,Northwood Gardens
Brompton Grove,Agnesfield Close,Woodberry Grove,Elm Park Road,Rosebank Close
Chapel Court,"Burberry Court, 15 Etchingham Park Rd",Rosemont Avenue,Eversleigh Road,Victoria Grove
Cherry Tree Hill,St Pancras Court (Flats),Fallowfields Drive,Lansdowne Road,Welbeck Close
Church Vale,Glebelands Close,Thistley Close,Oakdene Park,Friern Park
Eagans Close,The Lodge,Hawthornden Close,Gordon Road,Torrington Avenue
Hampstead Heights,Bedford Close,Pond Close,Lovers Walk,Torrington Close
Heath View Close,"Chalice Court, Deanery Close",Newstead Close,Links View,Glenhurst Road
Homefield Gardens,Challoner Close,Harwood Close,Salento Close,Beechvale Close
Maya Road,Diploma Avenue,Sunny Way,Manor Park Road,Friary Close
New Ash Close,Great North Road,Summerfields Avenue,Sedgemere Avenue,Friary Way
Norfolk Close,Great North Way,Legion Way,Brackenbury Road,Valley Avenue
Park Farm Close,Trott Road,Ingleway,Hamilton Road,Friary Road
Park Gate,Colney Hatch Lane,Upway,Sellers Hall Close,Ravensdale Avenue
Park Road N2,Wilton Road,School Way,Woodgrange Avenue,Friern Watch Avenue
Prospect Place,Sutton Road,Crossway,Woodhouse Road,Mayfield Avenue
Prospect Ring,George Crescent,Crescent Way,Lambert Road,Lynton Avenue
Southern Road,The Vale,Hamilton Square,Castle Road,Finchley Park
Twyford Avenue,Halliwick Road,Christchurch Close,Grove Road,Torrington Park
Vale Close,High Road,Garthway,Stanhope Road,Brent Street
East End Road (C) - GW4 Mon,Coppetts Road (Barnet Section),Chaplin Square,Fenstanton Avenue,Carol Close
Market Place,Chandos Road,Sandringham Gardens,Boxworth Close,Eaton Road
Fortis Green,Netherwood,Kenver Avenue,Hilton Avenue,Etheridge Road
Summerlee Avenue,Hertford Road,Shortway,Hemingford Close,Foster Street
Cherry Tree Road,Bedford Road,Summers Lane,Bramber Road,Foster Walk
Summerlee Gardens,Huntingdon Road,Summers Row,Torrington Grove,Irving Way
Baronsmere Road,Creighton Avenue,Addington Drive,Lewes Road,New Brent Street
Ingram Road,Albion Avenue,Alma Close,Warnham Road,North Street
Talbot Avenue,Halton Close,Haldane Close,Ashurst Road,Queens Road
Elmhurst Avenue,Ribblesdale Avenue,Hopkins Close,Buxted Road,West View F/P
Trinity Avenue,Wharfdale Close,Hornbeams Rise,Petworth Road,Sydney Grove
Durham Road,Winterburn Close,Ireton Close,Hatley Close,Heriot Road
Lincoln Road,Pickering Gardens,Oak Avenue,Hemington Avenue,Green Lane
Kitchener Road,Wensley Close,Pembroke Mews,Horsham Avenue,Brent Terrace
Park Hall Road,Skipton Close,Pert Close,Lyndhurst Avenue,"Romney Row, Brent Terrace"
Leicester Road,Coverdale Road,Strode Close,Hollickwood Avenue,Neeld Crescent
Fairlawn Avenue,Kirkby Close,Sycamore Hill,Woodleigh Avenue,Bertram Road
Oakview Gardens,Deepdale Close,Colney Hatch Lane  (Service Road),Ferncroft Avenue,Sinclair Grove
Stanley Road,Catterick Close,Goodwyns Vale,Thurlestone Avenue,Western Avenue
Heath View,Malham Close,Wetherill Road,Churchfield Avenue,Golders Manor Drive
Dairy Mews,Garsdale Close,Sydney Road,Hendon Park Row,Heather Gardens
East End Road (A) GW3 Sat,Grassington Close,Alma Road,St Edwards Close,Heathfield Gardens
East End Road (B) - GW4 Mon,Swaledale Close,Newton Avenue,Templars Avenue,Rotherwick Road
Templars Crescent,Kettlewell Close,Alexandra Road,St Georges Road,Middleton Road
Hertford Lodge,Arncliffe Close,Roman Road,Highcroft Gardens,Corringway
Beresford Road,Martins Walk,Crown Road,Portsdown Avenue,Vivian Avenue
Etheridge Road,116 - 178 Coppetts Road,Coppetts Close,St Andrews Road,Corringham Road
St Peters Court,Bridge Lane,Hampden Road,St Johns Road,Handley Grove
Brent Street,Princes Park Avenue,Pembroke Road,Leeside Crescent,Upton Close
Century Close,Golders Green Road,Stanley Road,Cranbourne Gardens,"Robinson Court, Somerton Road"
Woodburn Close,Woodlands,Cromwell Road,Brentmead Place (Access Road),Claremont Road (FOR R16/GW5)
Goodyers Gardens,Woodlands Close,Firs Avenue,Park Way,Draycott Close
Brent Green,James Close,Poplar Grove,Oakfields Road,Hamlet Square
Water Brook Lane,Highfield Road,Elm Way,Grosvenor Gardens,Dover Close
Queens Way,Brookside Road,Audley Close,Eastville Avenue,Woodburn Close
Queens Gardens,Russell Gardens,Brent Street,Hayes Crescent,Algernon Road
Queens Road,Alba Gardens,"Tenby Mansions, Brent Street",Hallswelle Road,Dartmouth Road
Cheyne Walk,Garrick Avenue,Stratford Road,Ashbourne Avenue,Esmar Crescent
Beaufort Gardens,Sneath Avenue,Brent Cross Gardens,Ashbourne Way,Graham Road
Denehurst Gardens,Ambrose Avenue,Victoria Road,Alberon Gardens,Malcolm Crescent
Renters Avenue,Gloucester Gardens,First Avenue,Monkville Avenue,Mount Road
Crespigny Road,Golders Green Crescent,Alexandra Road,Hurstwood Road,Russell Road
Foscote Road,Hoop Lane,Bell Lane,Decoy Avenue,Seelig Avenue
Sevington Road,Meadway Gate,Albert Road NW7,Hillcrest Avenue,Stuart Avenue
Allington Road,Wild Hatch,Nora Gardens,Eastside Road,Vaughan Avenue
Fairfield Avenue NW4,Ravenscroft Avenue,Kings Close,Kingweston Close,Vicarage Road
Park Road NW4,Wentworth Road,Boyne Avenue,Norwood Close,Station Road NW4
Nicoll Place,St Georges Close,Hillview Gardens,Windmill Drive,Herbert Road
Daniel Place,Elmcroft Avenue,Green Walk,Hamlet Square,Audley Road
St Davids Place,Beechcroft Avenue,Shirehall Lane,Ophelia Gardens,Montagu Road
Brent View Road,Babington Road,Brentmead Place,Woodvale Way,Elliot Road
Dallas Road,Brinsdale Road,North Circular Road,Beaulieu Close,Woodward Avenue
Sturgess Avenue,Burroughs Gardens,The Crest,Chalfont Court,Talbot Crescent
Riverside,Chatsworth Close,Golders Rise,Court Way,Faber Gardens
Brent Park Road,Church Road,The Approach,Greenway Gardens,Edgeworth Avenue
Layfield Close,Florence Street,West Avenue,Poolsford Road,Edgeworth Crescent
Layfield Road,Fuller Street,Holmfield Avenue,Portman Gardens,Edgeworth Close
Layfield Crescent,Linfield Close,Holmdale Gardens,The Greenway,Cool Oak Lane
337-371 Hendon Way,Mills Grove,Holmbrook Drive,Woodfield Avenue,Woolmead Avenue
228-202 Hendon Way,Nursery Walk,Danescroft Gardens,Colindeep Lane,Dehar Crescent
Aerodrome Road,Ravenshurst Avenue,Danescroft Avenue,Clovelly Avenue,West Hendon Broadway Nos 304-278
Borthwick Road,Raymead,Shirehall Park,Marlow Court,West Hendon Broadway Nos 318-342
Brecon Green,Somerset Road,Shirehall Close,Sheaveshill Avenue,West Hendon Broadway Nos 126-160
Caldicote Green,Sunningfields Crescent,Shirehall Gardens,Rankin Close,Hollyview Close
Camarthen Green,Westhorpe Gardens,Mayfield Gardens,Lynton Avenue,Courtgate Close
Cambrian Green,Finchley Lane,Haslemere Avenue,New Way Road,Wiltshire Close
Colwyn Green,Johns Avenue,Park View Gardens,Hillfield Avenue,Flower Lane
Corris Green,Sunny Gardens Road,Elms Avenue,Annesley Avenue,Parkmead Gardens
Crossway,Chatsworth Avenue,Elm Park Gardens,Greenway Close,Oaklodge Way
Deerfields Close,Meadow Drive,Elm Close,Southbourne Avenue,Wisteria Close
Fryent Crescent,Rowsley Avenue,Jubilee Lodge Green Lane,Colin Park Road,Sylvan Avenue
Fryent Grove,Sunningfields Road,Southbourne Crescent,Colin Close,Brockenhurst Gardens
Gadsbury Close,The Burroughs,Greenbank Crescent,Manor Way,Woodland Way
Northgate Drive,Brampton Grove,Barton Close,Peaberry Court (Flats) Greyhound Hill,Millway
Pendragon Walk,Glebe Crescent,Boltmore Close,Java Court (Flats) Greyhound Hill,Russell Grove
Rookery Close,Tenterden Grove,"Chadbury Court, Watford Way, NW4",Koban Court (Flats) Watford Way,Weymouth Avenue
Rookery Way,Tenterden Close,Chapel Walk F/P 1,Mannock Close,Uphill Drive
"Geneva Court, Rookery Way",Tenterden Gardens,Church End,The Loning,Newcombe Park
"Sobek House, Rookery Way",Wroughton Terrace,Church End Housing,Colindale Avenue,Goodwyn Avenue
Rushgrove Parade,Lodge Road,Church Terrace,Montrose Avenue (Section A),Watford Way
Ruthin Close,Egerton Gardens,Clarendon Gardens,Chequers Close,Foxwood Close
Scottwell Drive,Denmark Hill Drive,Cowley Place,Ajax Avenue,Albert Road NW4
St Matthias Close,Larch Green,Endersleigh Gardens,Cecil Road,Victoria Road
The Hyde  - A5,Long Mead,Grove Gardens,Booth Road,Lawrence Street
Tintern Path,North Green,Hall Lane,Braemar Gardens,The Reddings
Welshide Walk,Peel Drive,Hatchcroft,Angus Gardens,Reddings Close
Colin Crescent,Wardell Field,Richmond Gardens,Blundell Road,Sunnyfield
Colin Gardens,Field Mead,Rundell Crescent,Fortescue Road,Lawrence Gardens
Rushgrove Avenue,Clayton Field,Sherrock Gardens,Goldbeaters Grove (evens 62+ & odds 71+),Highwood Hill
Kingsbury Road,Great Field,Tithe Close,Storksmead Road,Lawrence Court
Derwent Rise,Long Field,"Watford Way, NW4 (Section A)",Mostyn Road,Hartley Avenue
Goldsmith Avenue,Birch Green,Barford Close,Watling Avenue,Hartley Close
Hyde Crescent,Corner Mead,Southfields,Maple Gardens,Montrose Avenue (Section B)
Talgarth Walk,Lancaster Close,Newark Way,Forumside,Thirleby Road
Snowdon Drive,South Mead,Greyhound Hill,Forum Way,Gervase Road
Reets Farm Close,Everglade Strand,Prince Of Wales Close,Manor Park Crescent,Gloucester Grove
Ammanford Green,Broadhead Strand,St Marys Crescent,Peachy Close,Trevor Road
Amroth Green,Little Strand,Sunny Hill,Manns Road,Gunter Grove
Bala Green,Lower Strand,Hendale Avenue,Garden City,Barnfield Road
Beaumaris Green,Great Strand,Prothero Gardens,Chilton Road,Gilbert Grove
Lampeter Close,Rowan Drive,Wykeham Road,Hillside Drive,Boston Road
Silkfield Road,Ruby Way,Raleigh Close,Green Lane,Blessbury Road
